,리뷰,메뉴
272,"타 교촌치킨에 비해 월등히 짬! 정말 짬!! 12시전 열려있는곳이 이곳밖에 없어 명지대점 첫주문 양은 정량인듯.. 요기요 앱에 배달 완료가 뜬뒤 10분이 지나도 안와 가게에 전화했더니 사장님 왜 배달완료로 뜬건지 본인은 모르고 배달 알아서 갈거라며, 무슨 주문을 이야기 하는지 관심도 없다는듯 전화를 끊음. 왠간하면 리뷰 안쓰는 내가 귀찮음을 감수하게 만들만큼 역대 교촌치킨 배달시킨 가게중 최악!!!",교촌윙/1(세트 선택(선택안함))
273,나쁘지 않고 무난하고 괜찮습니다.,허니순살[R]/1
274,최고입니다 맛도 좋고요!!!,레드콤보/1(세트 선택(웨지감자（세트）))
275,포인트 줘요 10자,레드콤보/1
276,항상 바빱ㅎ이는 교촌치킨..,반반윙/1(세트 선택(선택안함))
277,역시~짱!치킨은 교촌이 진리~,"레드콤보/1,허니오리지날/1"
278,맛있게 잘 먹었어요,교촌윙/1(세트 선택(선택안함))
279,늘 먹는 맛있는 치킨,반반윙/1(세트 선택(웨지감자（세트）))
280,정말최악의 교촌치킨점 교촌 이미지만 나빠짐 다른 근처 매장에 시킬것임 사장님은 친절함 대반전,허니콤보/1
281,배달은 1시간훨씬넘게걸리고 치킨은 다식어서 오고 ㅋㅋ,허니콤보/1
282,굿굿굿!! 모두 만족스럽고 맛있어요!! 양도 푸짐해요,반반오리지날/1(세트 선택(선택안함))
283,맛있고 신속정확배달 감사합니다,허니순살[R]/1
284,웨지감자랑 같이 먹는 레드윙은 환상입니다,레드윙/1(세트 선택(웨지감자（세트）))
285,레드윙은 언제나 옳다!!,레드윙/1
286,배달은 늦고 닭은 다 식어서 왔어요 배달비는 왜받으시는지,반반윙/1
287,주문한진 1시간 지나도록 안오길래 요기요 앱 확인 해보니 “배달완료”???? 매장 전화 연결하니 전화번호 타령 ??? 매장에 배달 상품 그대로 두고 사과 한마디 없고 장사를 배짱으로 하시네요 ㅎㅎ 장사 망하시길 바랍니다 ^^,허니순살[R]/1(세트 선택(허니순살[S]))
288,맛있네요.또시켜먹을께요,
289,배달은 약간 느리지만 맛있어요,허니오리지날/1(세트 선택(선택안함))
290,달콤한데 바삭하기까지 마지막 하나까지 잘먹었습니다,허니콤보/1
291,Red combo mat it da kkk DDo muk go sif da,레드콤보/1
292,레드윙 중독 스트레스엔 레드윙 만한게 없는듯,레드윙/1
293,매번 여기서 시켜먹는데요 어제는 양이 조금 적어보이더라구요..ㅜㅜ 그래도 맛있게 잘먹었어요 ㅎㅎ,허니콤보/1
294,일단 고기가 너무 없음 몇개는 그냥 튀김가루를 가져다준 수준 앞으로 여기서 못먹을것같음,반반오리지날/1
295,맛있게 먹고있었는데 이런게 나왔어요.. 조금만 신경써주세요ㅜㅜㅜ,허니콤보/1
296,맛있어서항상이용해요.특히러드콤보맛있어요,레드스틱/1(세트 선택(허니순살[S]))
297,맛있게 잘 먹었습니다! 교촌하면 짠게 먼저 생각이 났는데 예전보단 덜짜서 좋네요.,허니오리지날/1(세트 선택(선택안함))
298,교촌은 교촌 (교촌은 교촌),"허니콤보/1(세트 선택(선택안함)),레드디핑소스/1"
299,맛있게 잘 먹었습니다,"허니콤보/1(세트 선택(선택안함)),레드디핑소스/1"
300,양도 많고 맛있었어요 ~,허니콤보/1(세트 선택(선택안함))
