,리뷰,메뉴
109,자담으로 순살은 처음이었는데 살도 부드럽고 바싹바싹 맛있어요^^,순살 치킨/1(맛 선택(후라이드＋양념))
110,오늘 행사때문인지 배달이 거의 2시간 걸려서 배고파서 너무 힘들었어요ㅠㅠ 그래도 역시 자담치킨 맛있어요!,핫순살 치킨/1(맛 선택(후라이드 한마리))
111,여기는 정말 간장치킨 맛집입니다... ㅠㅠㅠ 처음 주문했는데 양도 넉넉하고 감자튀김도 많고 후라이드에 치즈볼 두 개!!! 정말 놀랐어요 ㅠㅠ 이 양에 가격도 적당하고 앞으로 자주자주 주문할 것 같네요 다시 한 번 말하지만 여기는 간장 맛집입니다... 💛💛,순살 치킨/1(맛 선택(후라이드＋간장))
112,처음 들어보는 업체명이라서 반신반의 했었습니다. 간혹 너무 짜고 달고 자극적인 업체들이 있거든요. 자담치킨은 걱정 안해도 됩니다. 일단 튀김옷의 바삭함이 여느 유명한 프렌차이즈보다 월등히 뛰어납니다. 그래서 무슨 양념을 가미한다고 해도 튀김옷 자체의 식감이 뛰어나서 모두 맛있을수밖에 없습니다. 그렇다 해서 양념의 맛이 부족하지도 않습니다. 오히려 당도 염도등 모든 맛이 한쪽으로 치우쳐있지 않고 균형있게 만들어져서 양념에 대한 많은 연구를 했다는 생각이 들었구요. 가장 중요한 고기도 냉동의 흔적 없이 너무 부드러워요,순살 치킨/1(맛 선택(간장＋양념))
113,날이 날인지라 배달은 쫌 늦었지만 맛있고 양도 좋았습니다 자주시켜먹을게요,"날다닭 치킨/1(맛 선택(후라이드 한마리)),생맥주 1000cc/1"
114,맛은 있는데 모텔에서 시켰는데 일회용젓가락이 안 들어있어서 손으로 먹었네요 일회용줄이기에 실천하는 사업장이 많은데 따로 요구사항에 적을 걸 그랬어요,"순살강정치킨/1(매운맛 선택(순한맛)),생맥주 1000cc/1"
115,맛있게 잘 먹었습니다,순살 치킨/1(맛 선택(후라이드＋양념))
116,핫후라이드진짜너무맛있음 치킨으로장난질안함,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
117,한조각 먹구 찍은건데 너무맛있어요 ㅠㅠ,핫후라이드 치킨/1(맛 선택(후라이드＋양념))
118,자담이 진짜 이 일대 최고 치킨! 양념 소스 넘 맛있어요ㅠㅠ,순살 치킨/1(맛 선택(후라이드＋양념))
119,1시간 좀 넘게 기다려 배가고파 맛있게는 먹었네요^^ 순살에 튀김옷이 많고 살은 별로 없어요 ㅠㅠ 양파 웨지감자는 비싸긴한데 맛있고요~,"후라이드 치킨/1(맛 선택(후라이드 한마리)),순살 치킨/1(맛 선택(후라이드 한마리)),양파 웨지감자/1"
120,맛있게먹은거같아요 살도부드럽고 좀 느끼했습니다 매콤치킨에비해,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
121,맛있게 먹었습니다,핫순살 치킨/1(맛 선택(후라이드 한마리))
122,사장님 넘 친절하시고 치킨도 넘빠삭 맛나고 겁나맛난 쏘스 대박 맛집입니다. 밤11시에 가족 회식 치킨잔치 대박 맛나요,후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업))
123,맨날 굽x칰만 먹엇었는데 바삭한 크리스피가 땡기던 날이라 주문 했습니다. 양도 적절 하고 파닭이 맛나요 파채도 적당히 있고 소스도 맛잇어요 크리스피 치킨에 파닭생각나면 이제 여기서 하려구요,"순살파닭후라이드/1(사이드메뉴 추가(양념소스 추가)),코카콜라 1.25L/1"
124,맛있습니다. 또시킵니다.,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
125,오~맛있어요 느끼하지않고 맛이 깔끔하네요,후라이드 치킨/1(맛 선택(후라이드 한마리))
126,처음으로 먹어봤는데 후라이드진리네요 따뜻하니 맛잇어요,후라이드 치킨/1(맛 선택(후라이드 한마리))
127,맛있고 배달 빠르고 좋았습니다.,"순살 치킨/1(맛 선택(허니버터 한마리),사이드메뉴 추가(콜라 사이즈 업))"
128,"새벽 3시에 넘 배고파서 깼는데 마침 자담치킨이 있길래 시켰어요!!!!! 넘 맛있어요!!!! ㅠㅠ 감튀도 넘 맛있고 핫후라이드 짱짱,,!!!!!! 순살 넘 촉촉하네요오오오오 역시 이동네 치킨 깡패 자담,,","핫순살 치킨/1(사이드메뉴 추가(양념소스 추가),맛 선택(후라이드 한마리))"
129,넘마싯어요ㅠㅠㅠㅠㅠ,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
130,맛있게 잘 먹었습니다~ 후라이드가 느끼하지않고 담백합니다 :),
131,맛있어용 먹고남아서 냉장고넣고 담날먹는데 깜놀 너무바삭해서요 데우지않고먹는게 더맛나용,순살 치킨/1(맛 선택(후라이드 한마리))
132,와 진짜 이렇게 맛없는치킨 처음,"순살 치킨/1(맛 선택(후라이드 한마리),사이드메뉴 추가(콜라 사이즈 업,매운양념소스 추가)),처음처럼/2"
