,리뷰,메뉴
198,슈프림 양념 너무 맛있어용!!,두마리순살세트（슈프림양념＋와락간장）/1
199,맛있어요 짱짱 배달도 빨라용,순살 슈프림양념치킨/2
200,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,순살 슈프림양념치킨/1
201,트리플 따봉 드립니다,순살 슈프림양념치킨/1
202,너무 맛있어염 ㅎㅅㅎ,"두마리세트（후라이드＋핫슈프림양념）/1,사이다 1.25L 변경 /1"
203,파닭인데 주먹만큼도 안주네요... 양념도 위에있는 치킨만 묻어있어서 아쉬웠습니다.,두마리세트（핫슈프림양념＋레몬파닭）/1
204,배달이 느리긴하지만 맛은 있네요,반반（후라이드반＋올리고당양념반）/1
205,엄청납니다 드디어 이 지역에서 슈프림을 ㅠㅠㅠ,슈프림 양념치킨/1
206,처갓집은 이름값 하는듯 ㅎㅎㅎ,반반（핫슈프림양념반＋레몬파닭반）/1
207,맛있어요 살이 촉촉함,반반치킨/1
208,먼가 추억의 맛이 느껴지는 치킨이었습니다 감사합니다ㅎㅎ,날개후라이드/1
209,처가집 진짜 너무 좋아요 완전 맛있어요^^,반반（순살후라이드반＋순살올리고당양념반）/1
210,좋습니다 맛잇네요 친절하고,"The.화이트치킨（슈프림）/1,1.25L 변경/1"
211,맛있어요 jmt추천합니다ㅋㅋㅋ,슈프림 양념치킨/1
212,"배달시간은 예상 시간을 초과한 1시간 이상 걸렸습니다. 치킨 맛은 후라이드는 괜찮았으나 양념은 별로였습니다. 처갓집하면 양념치킨이 대표적인 메뉴인데, 양념을 급하게 만드셨는지 맛이 따로 논다는 느낌을 받았고 농도도 연하여 전반적으로 실망스러웠습니다.",순살 반반치킨/1
213,배달 빠르고 양도많고 좋아요,두마리세트（후라이드＋올리고당양념）/1
214,양념치킨 먹고싶을땐 그냥 처갓집하자 얘들아,순살 슈프림양념치킨/1
215,맛있어요 ㅋㅋㅋ 잘 먹었습니다,순살 레몬파닭치킨/1
216,어릴적 할머니가 시켜주던 닭고기 맛 향수에 그만... 눈물 왈콱 ㅠ 슈프림 양념치킨은 첨먹어봤는데 무슨맛이지 ? 하다가 다먹었네요 갓갓집 양념치킨 추천이용,"반반（후라이드반＋핫슈프림간장반）/1,1.25L 변경/1"
217,차음 처갓집 시켜먹엇는데 오코노미야끼 맛이나고 맛있아요!,핫슈프림 양념치킨/1
218,wwwwwwwwwwwwwwwwwww,반반（순살후라이드반＋순살슈프림간장반）/1
