,리뷰,메뉴
20,45분안에 온다고 하셨는데 지금 1시간 30분째 안오고 있어요. 20분전에 배달기사 출발했다고 하시더니 이젠 매장 전화도 안되네요...ㅠㅠ 이럴거면 주문취소하고싶은데 주문 취소도 안되네요,"핫크리스피치킨 1조각/2,후렌치후라이（L）/1,콘샐러드/1,스위트칠리소스/2,코카콜라¸/1"
21,배달 시켯는데 왜 안오죠?? 1시간10분이 넘엇는데,"New 치킨도버거도팩/1,Best 디저트팩/1"
22,맛있었어요 배달도 적당했습니다,"블랙라벨치킨 1조각/3,NEW 핫치즈징거버거/1"
23,너무 맛있게 먹었어요,"블랙라벨치킨 1조각/2,NEW 징거더블다운맥스세트/1(사이드변경(텐더떡볶이교환),음료변경(콜라)),오리지널타워버거 세트/2(사이드변경(올쉐킷치즈교환),음료변경(콜라)),NEW 핫치즈징거버거세트/1(사이드변경(텐더떡볶이교환),음료변경(스프라이트교환)),트위스터세트/1(사이드변경(텐더떡볶이교환),음료변경(콜라))"
24,눅눅해요 치킨6조간전부 전자레인지에 돌린것처럼 눅눅해요,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,텐더떡볶이/1,코크제로/1,코카-콜라 245mL/1"
25,배달 50분 걸린다햇는데 30도 안되서 온것같음,"Best 디저트팩/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,치킨불고기버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(콜라))"
26,치킨이 식어있단 후기를 봤는데 평소 kfc앱으로 많이 시켜먹던 터라 사정이 있었겠지 했습니다. 근데 정말이네요. 이렇게 맛없는 적은 처음입니다. 요기요 앱으로 주문하면 상태 안좋은걸로만 보내나봅니다. 그럴거면 제휴를 없애지 왜 하는지 모르겠네요. 치킨도 덜익고 식어빠져서 제인생 최악의 치킨을 먹었네요. 절대 여기서 시키지마세요. 만원짜리 시장치킨이 더맛있습니다,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/2,코울슬로/1"
27,블랙라벨 치킨은 너무 맛이 없네요,"블랙라벨치킨 1조각/2,NEW 타워버거세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환))"
28,매장에 사정이 있었는지 배달은 늦었지만 맛있게 잘먹었습니다ㅎㅎ,"핫크리스피치킨 1조각/2,오리지널치킨 1조각/2,코울슬로/2"
29,맛잇어요욣ㅎㅎㅎㅎㅎ,Best 버거팩/1
