,리뷰,메뉴
103,맛 괜찮고 양도 좋고 깔끔하고 괜찮음,"슈퍼슈프림 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),버팔로윙 10개/1,치킨텐더 6개/1"
104,배달도 빨리오고 따듯하게 잘 배달됐어요!! 존나맛!,불고기 피자 M/1
105,맛있어요,치즈 피자 L/1(L사이즈 추가선택(치즈크러스트 추가))
106,따뜻하게 배달도 잘되었고 가격대비 치즈도 넘맛나요~,"슈퍼슈프림 피자 M/1,콜라 1.25L/1"
107,배달 빠르고 메이저 프랜차이즈들 보다 맛있네요,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(토핑추가)),콜라 1.25L/1"
108,너무 맛있다능 걀걀,베이컨체다프라이 피자 M/1
109,핵존맛ㅋㅋㅋㅋㅋ 방금 또 시켰습니당ㅎㅎㅎ,"베이컨체다프라이 피자 M/1,스프라이트 500mL/1"
110,치즈가 정말쫀득거려요 맛있게 먹었어요,"슈퍼슈프림 피자 M/1,콜라 1.25L/1"
111,맛있어요 감사합니다,슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가))
112,잘 먹었습니다...,"하와이언 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),치즈오븐스파게티/1,갈릭디핑소스/1"
113,가족들이 오랜만에 맛있는 피자 잘 먹었다고 하네요. 저는 뒤늦게 먹었지만 식어도 맛있었고 렌지에 돌려서 먹어도 방금 배달온 것처럼 맛있었어요!,"베이컨체다프라이 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),콜라 1.25L/1"
114,굿굿굿베리굿입니다아아아,고르곤졸라피자 M/1
115,굳,"슈퍼슈프림 피자 L/1,치즈오븐스파게티/1"
116,"배달도 빠르고, 정말 맛있네요.",SET A（명품오리지널피자L＋훈제치킨＋콜라 1.25L）/1(SET메뉴 피자선택(하와이언피자L))
117,늦은시간에도 먹을만하네요,"슈퍼슈프림 피자 L/1,콜라 1.25L/1"
118,맛있습니다. 치즈가 역시,"치즈 피자 L/1(L사이즈 추가선택(치즈크러스트 추가,치즈추가))"
119,행복한 저녁이였습니다..너무 맛있어여.. (M은 두명이서 먹기 딱 좋은 크기),"포테이토 피자 M/1,콜라 1.25L/1"
120,맛있게 잘 먹었습니다. 감사합니다.,페파로니 피자 L/1(L사이즈 추가선택(치즈크러스트 추가))
121,식은 피자와 굳은 스파게티 눅눅한 치즈스틱! 겨울인건 알지만 너무하네요,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(페파로니피자L),L 추가 선택(씬도우 추가),추가 선택(치즈스틱5개))"
122,슈프림피자 넘나 맛있었습니다~!! 치즈도 너무 맛있었고 기본에 충실한 맛집입니다!!,"슈퍼슈프림 피자 M/1,갈릭디핑소스/1,콜라 1.25L/1"
123,늘 맛있습니다. 페퍼로니 피자 강추. 페퍼로니 촘촘하게 토핑되어 있고 치즈 두껍게 깔려 있어 맛있습니다,페파로니 피자 L/1
